epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5927,1.01639,0.4573,0.92186,0.9848,0.96006,0.98495,0.68716,1.14937,0.48318,0.93375,0.00330918,0.00330918,0.00330918
2,162.98,1.05136,0.49128,0.92879,0.98586,0.98378,0.99386,0.73599,1.00942,0.45334,0.90077,0.00660963,0.00660963,0.00660963
3,245.788,1.09012,0.53308,0.94107,0.92957,0.94594,0.96704,0.61579,1.28966,0.69802,0.96927,0.00987708,0.00987708,0.00987708
4,326.28,1.11337,0.54995,0.94438,0.97683,0.9599,0.98388,0.69509,1.09098,0.52927,0.93036,0.0098515,0.0098515,0.0098515
5,403.05,1.09384,0.53876,0.94224,0.9452,0.95338,0.96936,0.63761,1.25473,0.58064,0.96335,0.009802,0.009802,0.009802
6,476.115,1.09361,0.53097,0.94083,0.98411,0.9789,0.99102,0.71697,1.07618,0.49408,0.92451,0.0097525,0.0097525,0.0097525
7,550.844,1.08578,0.5197,0.94002,0.97448,0.94556,0.97914,0.70472,1.08981,0.49197,0.92269,0.009703,0.009703,0.009703
8,624.718,1.07492,0.51459,0.93522,0.98462,0.97228,0.99055,0.72687,1.07199,0.46603,0.92354,0.0096535,0.0096535,0.0096535
9,697.765,1.07002,0.50571,0.93853,0.98906,0.97774,0.99335,0.7499,0.99622,0.43837,0.90051,0.009604,0.009604,0.009604
10,771.278,1.06307,0.49889,0.93337,0.97947,0.97733,0.99261,0.72433,1.04482,0.46503,0.91358,0.0095545,0.0095545,0.0095545
11,845.59,1.05897,0.49628,0.93648,0.98682,0.9728,0.98919,0.73726,1.01129,0.4481,0.90628,0.009505,0.009505,0.009505
12,918.708,1.05044,0.49092,0.93012,0.98878,0.98375,0.9939,0.73439,1.03086,0.44248,0.91088,0.0094555,0.0094555,0.0094555
13,994.91,1.0468,0.48726,0.93044,0.97929,0.98169,0.99262,0.73328,1.01178,0.43627,0.90993,0.009406,0.009406,0.009406
14,1072.21,1.04581,0.48445,0.93125,0.99028,0.98082,0.99409,0.73256,1.04069,0.43048,0.9138,0.0093565,0.0093565,0.0093565
15,1147.65,1.04641,0.48448,0.92975,0.99031,0.9804,0.9899,0.75133,1.0069,0.43518,0.9085,0.009307,0.009307,0.009307
16,1223.08,1.04181,0.47734,0.93241,0.98694,0.98187,0.99397,0.74446,1.00642,0.43182,0.90828,0.0092575,0.0092575,0.0092575
17,1298.32,1.03379,0.47511,0.92617,0.98005,0.96803,0.98982,0.72111,1.05763,0.45412,0.92725,0.009208,0.009208,0.009208
