epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08565,1.5063,1.06145,1.02303,0.88185,0.83166,0.88806,0.58144,1.17495,0.56611,0.85241,7e-05,7e-05,7e-05
2,15.6996,1.35178,1.00443,0.97351,0.89637,0.82086,0.88253,0.55324,1.28899,0.62678,0.86595,0.000141089,0.000141089,0.000141089
3,23.3453,1.27114,0.97471,0.95065,0.86194,0.83439,0.88168,0.5549,1.27246,0.65625,0.86445,0.000210743,0.000210743,0.000210743
4,31.0289,1.23545,0.97683,0.94353,0.88915,0.82586,0.88224,0.53564,1.32019,0.63223,0.86601,0.000242575,0.000242575,0.000242575
5,38.8875,1.20941,0.97871,0.93317,0.89097,0.81336,0.87713,0.55765,1.2041,0.61267,0.8558,0.0002401,0.0002401,0.0002401
6,46.7555,1.18077,0.97557,0.92992,0.86935,0.82803,0.88034,0.5644,1.20586,0.59764,0.85437,0.000237625,0.000237625,0.000237625
7,54.8651,1.16341,0.9676,0.92596,0.87723,0.82441,0.8782,0.56898,1.22784,0.60888,0.85753,0.00023515,0.00023515,0.00023515
8,63.0047,1.15823,0.9663,0.92343,0.88364,0.82515,0.88139,0.58825,1.12494,0.57662,0.84688,0.000232675,0.000232675,0.000232675
9,71.1122,1.13615,0.95839,0.92061,0.86149,0.84284,0.87837,0.58453,1.14041,0.57191,0.84882,0.0002302,0.0002302,0.0002302
10,79.1938,1.13271,0.95153,0.91856,0.8999,0.82149,0.88274,0.5665,1.20681,0.59827,0.85211,0.000227725,0.000227725,0.000227725
11,87.1509,1.13719,0.96384,0.91897,0.90008,0.82782,0.88277,0.49176,1.5033,0.6633,0.89231,0.00022525,0.00022525,0.00022525
12,95.0992,1.12527,0.95826,0.91931,0.86919,0.83091,0.87841,0.50395,1.39805,0.64501,0.87192,0.000222775,0.000222775,0.000222775
13,102.938,1.11814,0.93811,0.9155,0.88403,0.83326,0.87994,0.53667,1.33041,0.61438,0.86864,0.0002203,0.0002203,0.0002203
14,111.173,1.12386,0.95038,0.9175,0.86619,0.84125,0.88144,0.56404,1.21627,0.58753,0.85712,0.000217825,0.000217825,0.000217825
15,119.17,1.11881,0.9393,0.91624,0.89222,0.82385,0.88357,0.55592,1.25123,0.58869,0.85853,0.00021535,0.00021535,0.00021535
16,127.586,1.11896,0.93298,0.91427,0.87542,0.83108,0.88672,0.55331,1.26984,0.59071,0.85743,0.000212875,0.000212875,0.000212875
17,135.721,1.12163,0.92599,0.91718,0.85264,0.85724,0.88705,0.58725,1.15254,0.56623,0.84891,0.0002104,0.0002104,0.0002104
18,143.949,1.12352,0.94221,0.91924,0.88892,0.8199,0.88287,0.58192,1.16065,0.56435,0.8512,0.000207925,0.000207925,0.000207925
19,152.027,1.10454,0.93368,0.91404,0.86901,0.83378,0.88431,0.56564,1.20284,0.58023,0.85564,0.00020545,0.00020545,0.00020545
20,160.072,1.10135,0.92574,0.91248,0.8772,0.82962,0.88305,0.55718,1.19234,0.58769,0.85096,0.000202975,0.000202975,0.000202975
